System Initializing...
Keep airflow OFF and system STILL for calibration...
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1204175,0,0.00,29.0,334,395,366
1204312,0,0.00,29.1,334,395,367
1204477,0,0.00,29.0,335,394,367
1204594,0,0.00,29.0,335,394,367
1204692,0,0.00,29.0,335,395,367
1204833,0,0.00,29.0,335,394,367
1205010,0,0.00,29.0,334,395,367
1205188,0,0.00,29.0,334,394,367
1205324,0,0.00,29.0,334,395,366
1205453,0,0.00,29.0,335,394,366
1205599,0,0.00,29.0,334,394,367
1205751,0,0.00,29.0,334,395,367
1205920,0,0.00,29.0,334,395,367
1206084,0,0.00,29.0,335,394,367
1206213,0,0.00,29.0,338,398,370
1206332,0,0.00,29.0,336,396,368
1206495,0,0.00,29.0,337,398,370
1206657,0,0.00,29.0,336,396,368
1206787,0,0.00,29.0,336,396,368
1206898,0,0.00,28.9,336,397,369
1207032,0,0.00,28.9,336,397,368
1207167,0,0.00,29.2,336,397,369
1207327,0,0.00,28.1,336,396,368
1207537,0,0.00,28.2,336,396,369
1207394,0,0.00,31.7,338,395,371
1191199,0,0.00,29.1,381,399,367
1123114,63274,7.55,27.7,334,397,368
1073216,113172,10.09,30.2,337,397,368
1074367,112021,9.08,31.2,338,400,370
1116475,69913,8.17,29.7,339,400,371
1177851,8537,7.36,29.9,337,398,369
1199813,0,6.62,30.0,336,396,368
1203844,0,5.96,30.2,336,396,366
1205497,0,5.36,30.2,335,396,366
1206337,0,4.83,30.2,335,395,366
1206789,0,4.34,30.3,334,395,366
1207061,0,3.91,30.3,334,395,367
1207232,0,3.52,30.3,334,395,365
1207308,0,3.17,30.3,334,395,366
1207292,0,2.85,30.4,335,395,366
1207252,0,2.57,30.4,334,394,366
1207266,0,2.31,30.4,334,395,367
1207242,0,2.08,30.3,334,395,365
1207225,0,1.87,30.4,334,395,366
1207233,0,1.68,30.4,335,395,366
1207200,0,1.51,30.4,334,394,366
1207155,0,1.36,30.4,334,395,366
1207117,0,1.23,30.4,334,395,365
1207137,0,1.10,30.4,334,395,366
1207143,0,0.99,30.4,335,395,366
1207146,0,0.89,30.4,334,395,365
1207114,0,0.81,30.4,334,394,366
1207154,0,0.72,30.4,334,394,366
1207202,0,0.65,30.4,334,395,366
1207181,0,0.59,30.4,335,395,366
1207170,0,0.53,30.4,334,395,365
1207211,0,0.48,30.4,334,395,366
1207257,0,0.43,30.4,334,394,365
1207312,0,0.39,30.4,334,395,365
1207352,0,0.35,30.4,334,395,366
1207395,0,0.31,30.4,334,395,366
1207507,0,0.28,30.4,334,395,366
1207517,0,0.25,30.4,334,394,365
1207523,0,0.23,30.4,334,395,365
1207581,0,0.20,30.3,334,395,366
1207638,0,0.18,30.4,334,395,366
1207673,0,0.17,30.4,334,395,366
1207723,0,0.15,30.4,334,394,366
1207854,0,0.13,30.4,335,395,366
1207896,0,0.12,30.4,335,395,366
1207988,0,0.11,30.3,334,395,366
1208073,0,0.10,30.3,335,397,367
1208133,0,0.09,30.4,336,397,368
1208215,0,0.08,30.4,336,397,368
1208280,0,0.07,30.4,336,397,368
1208311,0,0.06,30.3,336,397,367
1208410,0,0.06,30.4,336,397,368
1208536,0,0.05,30.4,336,396,367
1208627,0,0.05,30.4,336,397,367
1208716,0,0.04,30.4,336,397,367
1208838,0,0.04,30.3,335,397,367
1208965,0,0.03,30.3,336,396,368
1209027,0,0.03,30.4,336,397,368
1209095,0,0.03,30.3,336,397,368
1209185,0,0.02,30.4,336,397,367
1209319,0,0.02,30.3,336,397,367
1209435,0,0.02,30.2,337,398,369
1209543,0,0.02,30.3,340,402,372
1209664,0,0.02,30.3,337,399,369
1209761,0,0.01,30.3,337,398,368
1209826,0,0.01,30.3,338,399,369
1209900,0,0.01,30.3,337,398,369
1210027,0,0.01,30.2,337,398,368
1210197,0,0.01,32.2,333,397,369
1210367,0,0.01,29.6,336,398,368
1210516,0,0.01,28.3,336,398,369
1210646,0,0.01,31.5,338,398,368
1210801,0,0.01,30.9,339,396,368
1210928,0,0.01,29.2,337,398,369
1211018,0,0.01,29.7,336,398,368
1211103,0,0.00,30.2,337,397,369
1211190,0,0.00,30.2,336,397,368
1211145,0,0.00,30.1,336,397,368
1211210,0,0.00,30.2,336,397,368
1211341,0,0.00,30.2,336,397,369
1211470,0,0.00,30.1,336,396,368
1211608,0,0.00,30.1,336,397,368
1211720,0,0.00,30.1,336,397,368
1211834,0,0.00,30.1,336,397,368
1211963,0,0.00,30.1,336,396,368
1212104,0,0.00,30.0,336,396,367
1212200,0,0.00,30.2,336,396,368
1212291,0,0.00,30.0,336,397,368
1212441,0,0.00,30.2,335,397,368
1212570,0,0.00,30.0,336,397,368
1212672,0,0.00,30.0,336,397,368
1212780,0,0.00,29.3,335,394,370
1212944,0,0.00,29.1,336,397,368
1213190,0,0.00,32.2,337,397,368
1213379,0,0.00,30.4,336,396,368
1213511,0,0.00,28.6,335,397,365
1213623,0,0.00,30.5,335,397,367
1212960,0,0.00,32.1,337,397,367
1204864,0,0.00,29.4,462,397,367
1184424,1964,1.33,28.5,483,399,366
1163992,22396,4.49,31.4,522,398,366
1156501,29887,5.19,30.3,489,398,366
1155729,30659,5.25,30.4,505,398,366
1183390,2998,4.73,30.4,554,397,365
1212481,0,4.25,30.5,528,398,366
1218253,0,3.83,30.5,501,398,366
1219165,0,3.45,30.6,527,398,365
1219379,0,3.10,30.5,562,398,365
1219366,0,2.79,30.5,515,397,365
1219296,0,2.51,30.5,512,398,365
1219158,0,2.26,30.5,552,398,366
1218930,0,2.04,30.5,551,398,365
1218724,0,1.83,30.5,508,398,366
1218575,0,1.65,30.4,525,397,365
1218433,0,1.48,30.4,569,398,365
1218319,0,1.34,30.5,527,398,365
1218178,0,1.20,30.5,512,398,365
1218012,0,1.08,30.4,545,398,365
1217899,0,0.97,30.5,564,398,365
1217760,0,0.88,30.5,515,398,365
1217659,0,0.79,30.5,521,398,365
1217625,0,0.71,30.5,564,398,365
1217600,0,0.64,30.5,545,397,365
1217553,0,0.57,30.4,512,398,365
1217490,0,0.52,30.4,535,399,366
1217446,0,0.47,30.4,572,399,366
1217467,0,0.42,30.4,524,398,366
1217462,0,0.38,30.4,519,399,366
1217441,0,0.34,30.4,555,398,366
1217472,0,0.31,30.5,560,398,366
1217458,0,0.27,30.4,513,396,364
1217424,0,0.25,30.4,526,396,364
1217440,0,0.22,30.4,570,396,363
1217443,0,0.20,30.4,535,396,363
1217522,0,0.18,30.4,516,396,363
1217522,0,0.16,30.4,544,396,364
1217546,0,0.15,30.4,569,396,364
1217598,0,0.13,30.4,521,396,363
1217648,0,0.12,30.4,522,396,363
1217669,0,0.11,30.4,563,396,364
1217689,0,0.10,30.4,552,396,364
1217698,0,0.09,30.4,515,396,363
1217776,0,0.08,30.4,534,396,363
1217838,0,0.07,30.4,574,396,364
1217938,0,0.06,30.4,529,396,364
1218005,0,0.06,30.4,520,397,364
1218058,0,0.05,30.4,553,395,364
1218124,0,0.05,30.4,564,396,364
1218170,0,0.04,30.4,519,396,364
1218257,0,0.04,30.4,529,395,364
1218297,0,0.03,30.4,570,397,364
1218423,0,0.03,30.4,541,395,363
1218529,0,0.03,30.4,518,396,364
1218578,0,0.02,30.4,542,396,364
1218649,0,0.02,30.4,570,396,364
1218771,0,0.02,30.4,525,396,364
1218847,0,0.02,30.4,524,395,364
1218879,0,0.02,30.4,560,396,363
1218932,0,0.01,30.4,557,396,364
1219024,0,0.01,30.4,517,396,364
1219155,0,0.01,30.4,534,396,364
1219196,0,0.01,30.4,574,396,364
1219274,0,0.01,30.4,532,396,364
1219363,0,0.01,30.4,521,396,364
1219479,0,0.01,30.4,550,396,364
1219626,0,0.01,30.4,567,397,364
1219708,0,0.01,30.4,521,396,363
1219773,0,0.01,30.4,528,396,364
1219855,0,0.01,30.4,567,396,364
1219952,0,0.00,30.4,546,396,364
1220064,0,0.00,30.4,518,396,364
1220172,0,0.00,30.4,539,396,364
1220259,0,0.00,30.4,572,396,364
1220335,0,0.00,30.4,528,396,364
1220451,0,0.00,30.3,524,396,363
1220543,0,0.00,30.3,558,396,364
1220617,0,0.00,30.3,560,396,364
1220759,0,0.00,30.4,519,396,364
1220938,0,0.00,30.4,532,396,364
1221022,0,0.00,30.3,573,396,364
1221028,0,0.00,30.3,536,396,364
1221144,0,0.00,30.3,520,396,364
1221255,0,0.00,30.3,549,396,363
1221398,0,0.00,30.3,569,396,364
1221501,0,0.00,30.3,523,396,364
1221609,0,0.00,30.4,527,396,364
1221693,0,0.00,30.3,565,395,364
1221801,0,0.00,30.4,551,396,364
1221898,0,0.00,30.3,518,396,364
1222087,0,0.00,30.3,538,396,363
1222194,0,0.00,30.3,575,396,364
1222254,0,0.00,30.3,530,395,363
1222347,0,0.00,30.3,523,396,364
1222462,0,0.00,30.4,557,396,364
1222572,0,0.00,30.3,564,396,364
1222666,0,0.00,30.3,519,396,364
1222782,0,0.00,30.2,531,395,364
1222879,0,0.00,30.2,572,396,364
1222972,0,0.00,30.2,540,396,364
1223099,0,0.00,30.3,518,396,364
1223213,0,0.00,30.3,545,396,364
1223270,0,0.00,30.2,572,396,363
1223391,0,0.00,30.2,524,396,363
1223409,0,0.00,30.2,524,396,364
1223328,0,0.00,30.1,564,396,364
1223302,0,0.00,30.4,556,396,364
1223461,0,0.00,30.8,522,396,364
1223848,0,0.00,29.3,520,395,363
1224174,0,0.00,31.2,557,396,363
1224565,0,0.00,32.7,554,396,364
1224916,0,0.00,30.1,534,395,364
1225106,0,0.00,29.4,534,396,363
1225461,0,0.00,32.2,576,396,364
1225917,0,0.00,31.1,531,396,364
1226125,0,0.00,31.1,539,396,363
1226090,0,0.00,31.1,581,395,364
1226088,0,0.00,31.4,553,396,363
1226100,0,0.00,31.2,527,396,363
1226130,0,0.00,31.3,553,396,363
1226099,0,0.00,31.3,582,396,364
1226098,0,0.00,31.2,534,396,363
1226160,0,0.00,31.3,533,396,363
1226207,0,0.00,31.3,572,395,364
1226236,0,0.00,31.3,567,396,364
1226278,0,0.00,31.3,526,396,363
1226340,0,0.00,31.3,543,396,363
1226373,0,0.00,31.3,586,396,364
1226479,0,0.00,31.1,541,397,364
1226544,0,0.00,31.3,529,397,364
1226628,0,0.00,31.2,562,396,364
1226668,0,0.00,31.3,578,397,364
1226733,0,0.00,31.2,530,397,365
1226838,0,0.00,31.2,537,397,365
1226920,0,0.00,31.3,580,397,365
1227000,0,0.00,31.2,555,397,365
1227057,0,0.00,31.2,526,398,365
1227173,0,0.00,31.1,551,398,365
1227251,0,0.00,31.3,585,398,366
1227306,0,0.00,32.4,534,398,366
1227352,0,0.00,30.4,531,398,365
1227310,0,0.00,30.0,542,398,365
1227241,0,0.00,33.6,576,398,365
1227241,0,0.00,31.8,548,397,366
1227371,0,0.00,30.1,535,398,365
1227542,0,0.00,31.3,568,398,365
1227757,0,0.00,33.8,567,397,365
1227985,0,0.00,31.1,545,398,366
1228951,0,0.00,30.2,544,397,365
1230545,0,0.00,33.3,576,398,365
1231570,0,0.00,32.8,557,398,365
1232010,0,0.00,31.0,541,397,365
1232034,0,0.00,31.1,557,398,365
1231937,0,0.00,32.2,565,397,365
1231770,0,0.00,32.2,539,398,365
1231532,0,0.00,32.2,562,398,365
1231376,0,0.00,32.3,592,398,365
1231243,0,0.00,32.2,544,397,365
1231136,0,0.00,32.3,541,397,365
1231054,0,0.00,32.3,578,397,365
1230948,0,0.00,32.3,574,398,365
1230871,0,0.00,32.4,533,397,365
1230835,0,0.00,32.3,548,397,364
1230817,0,0.00,32.3,590,397,365
1230795,0,0.00,32.4,546,397,365
1230822,0,0.00,32.3,533,398,365
1230796,0,0.00,32.2,564,397,365
1230800,0,0.00,32.3,579,397,365
1230859,0,0.00,32.2,533,397,365
1230880,0,0.00,32.3,539,397,365
1230925,0,0.00,32.1,580,397,366
1230720,0,0.00,32.1,556,398,365
1230049,0,0.00,32.1,528,397,364
1229727,0,0.00,32.1,551,397,365
1230279,0,0.00,32.0,580,397,365
1231107,0,0.00,31.9,535,397,365
1231422,0,0.00,31.8,531,397,364
1232355,0,0.00,31.8,567,397,365
1233601,0,0.00,31.7,565,397,365
1233815,0,0.00,31.7,524,397,365
1233742,0,0.00,31.8,538,397,364
1233580,0,0.00,31.6,580,397,365
1233333,0,0.00,31.5,538,397,365
1232991,0,0.00,31.5,525,397,365
1232606,0,0.00,31.5,556,397,364
1231888,0,0.00,31.4,572,397,365
1231576,0,0.00,31.4,526,397,365
1232873,0,0.00,31.3,532,397,365
1234353,0,0.00,31.3,574,397,365
1234976,0,0.00,31.3,550,397,364
1235346,0,0.00,31.2,523,397,365
1235412,0,0.00,31.3,547,398,365
1235261,0,0.00,31.1,577,397,365
1235056,0,0.00,31.1,531,397,365
1234864,0,0.00,31.1,529,397,365
1234580,0,0.00,31.1,567,397,365
1233404,0,0.00,31.1,563,398,365
1232001,0,0.00,31.0,522,397,365
1232045,0,0.00,31.1,539,397,365
1232649,0,0.00,31.0,581,397,365
1233557,0,0.00,31.0,537,397,365
1234692,0,0.00,30.9,525,397,365
1235725,0,0.00,30.9,558,397,364
1236548,0,0.00,30.8,572,397,364
1237106,0,0.00,30.8,524,397,365
1237304,0,0.00,30.9,532,397,365
1237210,0,0.00,30.8,575,397,365
1237035,0,0.00,30.8,547,397,365
1236813,0,0.00,30.7,522,397,365
1236535,0,0.00,30.6,548,397,365
1236309,0,0.00,30.6,577,397,364
1236093,0,0.00,30.6,529,397,365
1235888,0,0.00,30.6,527,397,365
1235491,0,0.00,30.6,567,397,365
1235163,0,0.00,30.6,561,397,365
1235027,0,0.00,30.5,520,396,364
1235154,0,0.00,30.5,538,397,364
1235243,0,0.00,30.4,580,397,365
1235338,0,0.00,30.4,534,397,365
1235349,0,0.00,30.4,523,397,365
1235300,0,0.00,30.3,557,397,365
1235204,0,0.00,30.5,569,397,365
1235122,0,0.00,30.4,521,397,365
1235068,0,0.00,30.5,530,397,365
1235006,0,0.00,30.0,535,397,364
1234971,0,0.00,32.7,556,397,365
1234778,0,0.00,29.9,531,397,365
1232917,0,0.00,27.6,522,397,365
1228186,0,0.00,31.6,559,397,365
1221803,0,0.00,31.6,547,397,365
1217187,0,0.00,29.9,531,397,365
1213622,0,0.00,29.7,539,397,365
1211017,0,0.00,33.5,570,397,365
1212056,0,0.00,31.5,543,397,365
1214669,0,0.00,29.5,532,397,365
1215847,0,0.00,32.0,565,397,365
1216295,0,0.00,33.7,560,397,364
1220457,0,0.00,31.1,542,397,365
1229724,0,0.00,30.4,544,398,364
1236958,0,0.00,33.5,575,397,365
1240715,0,0.00,32.8,555,397,365
1242689,0,0.00,32.1,552,397,365
1243933,0,0.00,32.2,591,397,364
1244113,0,0.00,32.3,558,397,365
1243609,0,0.00,32.4,536,397,364
1242997,0,0.00,32.4,563,398,365
1242399,0,0.00,32.4,589,396,365
1241894,0,0.00,32.5,542,397,365
1241322,0,0.00,32.5,544,397,365
1240821,0,0.00,32.5,583,397,364
1240375,0,0.00,32.5,573,397,365
1239997,0,0.00,32.5,536,397,364
1239656,0,0.00,32.6,555,397,364
