model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,external_mae,external_rmse,external_r2,feature_count
baseline_mean,0.225154,0.718120,0.000000,0.801506,1.730454,-0.179691,0.360142,1.262994,-0.012643,0
linear_accel_temp,0.231081,0.700823,0.047591,0.872578,1.847416,-0.344551,7.434129,9.153901,-52.194477,4
ridge_accel_temp,0.230778,0.700824,0.047588,0.872249,1.846958,-0.343885,7.374403,9.081061,-51.351285,4
poly2_accel_temp,0.230584,0.700808,0.047632,0.871729,1.849640,-0.347790,7.049514,8.617854,-46.146825,14
linear_accel_only,0.229212,0.701866,0.044755,0.850214,1.786214,-0.256942,7.594946,9.388283,-54.953400,3
linear_temp_only,0.223405,0.715172,0.008193,0.822159,1.777714,-0.245007,0.452317,1.303387,-0.078453,1
