System output with pulse of air occasionally
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1419649,0,0.00,29.2,362,346,393
1419788,0,0.00,29.3,361,347,393
1420029,0,0.00,29.3,362,347,394
1420168,0,0.00,29.6,360,346,394
1420645,0,0.00,31.0,363,346,394
1390128,0,0.00,30.1,363,345,395
1240225,128488,10.75,29.1,359,345,393
1316290,52423,7.53,30.5,362,348,392
1406466,0,5.27,30.8,363,347,393
1411771,0,3.69,30.9,362,348,393
1412994,0,2.58,30.9,363,348,393
1413275,0,1.81,30.9,363,347,393
1413198,0,1.27,30.8,363,348,393
1413026,0,0.89,30.9,363,348,393
1412850,0,0.62,30.8,363,348,392
1412677,0,0.43,30.8,362,347,393
1412511,0,0.30,30.8,362,348,393
1412366,0,0.21,30.8,363,348,392
1412238,0,0.15,30.8,363,348,392
1412131,0,0.10,30.8,363,347,393
1412135,0,0.07,30.8,363,348,392
1412100,0,0.05,30.7,363,348,392
1412049,0,0.04,30.8,363,347,392
1412077,0,0.03,30.6,363,347,393
1412095,0,0.02,30.6,362,348,393
1412171,0,0.01,30.6,363,348,392
1412222,0,0.01,30.6,363,347,392
1412335,0,0.01,30.6,363,348,392
1412437,0,0.00,30.6,362,348,393
1412545,0,0.00,30.5,362,347,392
1412639,0,0.00,30.5,363,348,393
1412773,0,0.00,30.5,363,348,392
1412898,0,0.00,30.5,363,348,392
1413058,0,0.00,30.5,363,347,393
1413246,0,0.00,30.5,362,348,392
1413399,0,0.00,30.5,363,347,393
1413550,0,0.00,30.5,362,347,392
1413751,0,0.00,30.5,362,348,393
1413957,0,0.00,30.4,363,348,392
1414133,0,0.00,30.5,363,347,393
1414293,0,0.00,30.5,363,348,393
1414451,0,0.00,30.4,362,348,392
1414658,0,0.00,30.4,362,348,392
1414805,0,0.00,30.3,362,348,392
1415001,0,0.00,30.4,362,348,392
1415174,0,0.00,30.3,363,348,392
1415460,0,0.00,30.4,363,347,393
1415401,0,0.00,31.1,363,346,393
1415920,0,0.00,29.3,365,347,392
1378388,0,0.00,29.6,362,347,393
